"document_index","document_title","paragraph_index","question","answer","label","__language__"
2,"CIENCIA_DA_COMPUTACAO",0,"By whom were the logarithmic tables produced? .","BC, in ancient India, the grammarian Pānini formulated the grammar of Sanskrit using 3959 rules known as Ashtadhyāyi, quite systematically and technically.",0,"en"
2,"CIENCIA_DA_COMPUTACAO",0,"What was the original use of abacus? .","BC, in ancient India, the grammarian Pānini formulated the grammar of Sanskrit using 3959 rules known as Ashtadhyāyi, in a rather systematic and technical manner.",0,"en"
2,"CIENCIA_DA_COMPUTACAO",0,"What was the first known tool for computation? .","BC, in ancient India, the grammarian Pānini formulated the grammar of Sanskrit using 3959 rules known as Ashtadhyāyi, in a rather systematic and technical way.",0,"en"
2,"CIENCIA_DA_COMPUTACAO",0,"How many rules did Pānini use to formulate the grammar of Sanskrit? .","BC, in ancient India, the grammarian Pānini formulated the grammar of Sanskrit using 3959 rules known as Ashtadhyāyi, quite systematically and technically.",1,"en"
2,"CIENCIA_DA_COMPUTACAO",0,"Who invented the logarithm? .","BC, in ancient India, the grammarian Pānini formulated the grammar of Sanskrit using 3959 rules known as Ashtadhyāyi, quite systematically and technically.",0,"en"
2,"CIENCIA_DA_COMPUTACAO",0,"Who is credited with the invention of the abacus?","Pānini used transformations and recursiveness with such sophistication that his grammar possessed theoretical computational power such as the Turing machine.",0,"en"
2,"CIENCIA_DA_COMPUTACAO",0,"How are the most modern versions of abacus used?","Pānini used transformations and recursiveness with such sophistication that his grammar possessed theoretical computational power such as the Turing machine.",0,"en"
2,"CIENCIA_DA_COMPUTACAO",0,"Who produced the logarithmic tables?","Pānini used transformations and recursiveness with such sophistication that his grammar possessed theoretical computational power such as the Turing machine.",0,"en"
2,"CIENCIA_DA_COMPUTACAO",0,"What was the original use of the abacus?","Pānini used transformations and recursiveness with such sophistication that his grammar possessed theoretical computational power such as the Turing machine.",0,"en"
2,"CIENCIA_DA_COMPUTACAO",0,"What was the first known tool for computation?","Pānini used transformations and recursiveness with such sophistication that his grammar possessed theoretical computational power such as the Turing machine.",0,"en"
2,"CIENCIA_DA_COMPUTACAO",0,"How many rules did Pānini use to formulate the grammar of Sanskrit?","Pānini used transformations and recursiveness with such sophistication that his grammar possessed theoretical computational power such as the Turing machine.",0,"en"
2,"CIENCIA_DA_COMPUTACAO",0,"Who invented the logarithm?","Pānini used transformations and recursiveness with such sophistication that his grammar possessed theoretical computational power such as the Turing machine.",0,"en"
2,"CIENCIA_DA_COMPUTACAO",0,"Who is credited with the invention of the abacus?","Between 200 B.C. and 400 B.C., the Indians also invented the logarithm, and from the 13th century logarithmic tables were produced by Islamic mathematicians.",0,"en"
2,"CIENCIA_DA_COMPUTACAO",0,"How are the most modern versions of the abacus used?","Between 200 B.C. and 400 B.C., the Indians also invented the logarithm, and from the 13th century logarithmic tables were produced by Islamic mathematicians.",0,"empty"
2,"CIENCIA_DA_COMPUTACAO",0,"Who produced the logarithmic tables?","Between 200 BC and 400, the Indians also invented the logarithm, and from the 13th century logarithmic tables were produced by Islamic mathematicians.",1,"en"
2,"CIENCIA_DA_COMPUTACAO",0,"What was the original use of the abacus?","Between 200 B.C. and 400 B.C., the Indians also invented the logarithm, and from the 13th century logarithmic tables were produced by Islamic mathematicians.",0,"en"
2,"CIENCIA_DA_COMPUTACAO",0,"What was the first known tool for computation?","Between 200 BC and 400, the Indians also invented the logarithm, and from the 13th century logarithmic tables were produced by Islamic mathematicians.",0,"en"
2,"CIENCIA_DA_COMPUTACAO",0,"How many rules did Pānini use to formulate Sanskrit grammar?","Between 200 BCE and 400 BCE, the Indians also invented the logarithm, and from the 13th century logarithmic tables were produced by Islamic mathematicians.",0,"en"
2,"CIENCIA_DA_COMPUTACAO",0,"Who invented the logarithm?","Between 200 BC and 400 BC, the Indians also invented the logarithm, and from the 13th century logarithmic tables were produced by Islamic mathematicians.",1,"en"
2,"CIENCIA_DA_COMPUTACAO",0,"Who is credited with the invention of the abacus?","When John Napier discovered logarithms for computational use in the 16th century, a period of considerable progress in building calculation tools followed.",0,"en"
2,"CIENCIA_DA_COMPUTACAO",0,"How are the most modern versions of the abacus used?","When John Napier discovered logarithms for computational use in the 16th century, a period of considerable progress in building calculation tools followed.",0,"empty"
2,"CIENCIA_DA_COMPUTACAO",0,"Who produced the logarithmic tables?","When John Napier discovered logarithms for computational use in the 16th century, a period of considerable progress in building calculation tools followed.",0,"en"
2,"CIENCIA_DA_COMPUTACAO",0,"What was the original use of the abacus?","When John Napier discovered logarithms for computational use in the 16th century, a period of considerable progress in building calculation tools followed.",0,"en"
2,"CIENCIA_DA_COMPUTACAO",0,"What was the first known tool for computation?","When John Napier discovered logarithms for computational use in the 16th century, a period of considerable progress in building calculation tools followed.",0,"en"
2,"CIENCIA_DA_COMPUTACAO",0,"How many rules did Pānini use to formulate Sanskrit grammar?","When John Napier discovered logarithms for computational use in the 16th century, there followed a period of considerable progress in building calculation tools.",0,"en"
2,"CIENCIA_DA_COMPUTACAO",0,"Who invented the logarithm?","When John Napier discovered logarithms for computational use in the 16th century, there followed a period of considerable progress in building calculation tools.",0,"en"
2,"CIENCIA_DA_COMPUTACAO",1,"What did the term computational machine refer to?","Before the 1920s, computer was a term associated with people performing calculations, usually led by physicists.",0,"en"
2,"CIENCIA_DA_COMPUTACAO",1,"To whom was the term computer associated?","Before the 1920s, computer was a term associated with people performing calculations, usually led by physicists.",1,"en"
2,"CIENCIA_DA_COMPUTACAO",1,"How is Alan Turing known?","Before the 1920s, computer was a term associated with people performing calculations, usually led by physicists.",0,"empty"
2,"CIENCIA_DA_COMPUTACAO",1,"What were computers used for before the 1920's?","Before the 1920s, computer was a term associated with people performing calculations, usually led by physicists.",0,"empty"
2,"CIENCIA_DA_COMPUTACAO",1,"When did the term computing machine lose ground to the term computer?","Before the 1920s, computer was a term associated with people performing calculations, usually led by physicists.",0,"empty"
2,"CIENCIA_DA_COMPUTACAO",1,"What did the term ""computing machine"" refer to?","Thousands of computers were employed in projects in commerce, government, and research sites.",0,"en"
2,"CIENCIA_DA_COMPUTACAO",1,"To whom was the term computer associated?","Thousands of computers were employed in projects in commerce, government, and research sites.",0,"en"
2,"CIENCIA_DA_COMPUTACAO",1,"How is Alan Turing known?","Thousands of computers were used in projects in commerce, government and research sites.",0,"en"
2,"CIENCIA_DA_COMPUTACAO",1,"What were computers used for before the 1920s?","Thousands of computers were used in projects in commerce, government, and research sites.",1,"en"
2,"CIENCIA_DA_COMPUTACAO",1,"When did the term computational machine lose ground to the term computer?","Thousands of computers were employed in projects in commerce, government, and research sites.",0,"en"
2,"CIENCIA_DA_COMPUTACAO",1,"What did the term computational machine refer to?","After the 1920s, the term computational machine began to be used to refer to any machine that performs the work of a professional, especially those according to the methods of the Church-Turing thesis.",1,"en"
2,"CIENCIA_DA_COMPUTACAO",1,"To whom was the term computer associated?","After the 1920s, the expression computational machine began to be used to refer to any machine that performs the work of a professional, especially those according to the methods of the Church-Turing thesis.",0,"empty"
2,"CIENCIA_DA_COMPUTACAO",1,"How is Alan Turing known?","After the 1920s, the expression computational machine began to be used to refer to any machine that performs the work of a professional, especially those according to the methods of the Church-Turing thesis.",0,"en"
2,"CIENCIA_DA_COMPUTACAO",1,"What were computers used for before the 1920s?","After the 1920s, the expression computational machine began to be used to refer to any machine that performs the work of a professional, especially those according to the methods of the Church-Turing thesis.",0,"en"
2,"CIENCIA_DA_COMPUTACAO",1,"When did the term computational machine lose ground to the term computer?","After the 1920s, the expression computational machine began to be used to refer to any machine that performs the work of a professional, especially those according to the methods of the Church-Turing thesis.",0,"en"
2,"CIENCIA_DA_COMPUTACAO",1,"What did the term computational machine refer to?","The term computational machine eventually lost ground to the shortened term computer in the late 1940s, with digital machines becoming more widespread.",0,"en"
2,"CIENCIA_DA_COMPUTACAO",1,"To whom was the term computer associated?","The term computational machine eventually lost ground to the shortened term computer in the late 1940s, with digital machines becoming more widespread.",0,"en"
2,"CIENCIA_DA_COMPUTACAO",1,"How is Alan Turing known?","The term computational machine eventually lost ground to the shortened term computer in the late 1940s, with digital machines becoming more widespread.",0,"en"
2,"CIENCIA_DA_COMPUTACAO",1,"What were computers used for before the 1920s?","The term computational machine eventually lost ground to the shortened term computer in the late 1940s, with digital machines becoming more widespread.",0,"en"
2,"CIENCIA_DA_COMPUTACAO",1,"When did the term computational machine lose ground to the term computer?","The term computational machine eventually lost ground to the shortened term computer in the late 1940s, with digital machines becoming more widespread.",1,"en"
2,"CIENCIA_DA_COMPUTACAO",1,"What did the term computational machine refer to?","Alan Turing, known as the father of computer science, invented the Turing machine, which later evolved into the modern computer.",0,"en"
2,"CIENCIA_DA_COMPUTACAO",1,"To whom was the term computer associated?","Alan Turing, known as the father of computer science, invented the Turing machine, which later evolved into the modern computer.",0,"en"
2,"CIENCIA_DA_COMPUTACAO",1,"How is Alan Turing known?","Alan Turing, known as the father of computer science, invented the Turing machine, which later evolved into the modern computer.",1,"en"
2,"CIENCIA_DA_COMPUTACAO",1,"What were computers used for before the 1920s?","Alan Turing, known as the father of computer science, invented the Turing machine, which later evolved into the modern computer.",0,"en"
2,"CIENCIA_DA_COMPUTACAO",1,"When did the term computational machine lose ground to the term computer?","Alan Turing, known as the father of Computer Science, invented the Turing machine, which later evolved into the modern computer.",0,"en"
2,"CIENCIA_DA_COMPUTACAO",2,"What has computer science contributed to?","Despite its short history as an academic discipline, Computer Science has given rise to several fundamental contributions to science and society.",1,"en"
2,"CIENCIA_DA_COMPUTACAO",2,"What gave rise to the information age?","Despite its short history as an academic discipline, Computer Science has given rise to several fundamental contributions to science and society.",0,"empty"
2,"CIENCIA_DA_COMPUTACAO",2,"What is a programming language?","Despite its short history as an academic discipline, Computer Science has given rise to several fundamental contributions to science and society.",0,"en"
2,"CIENCIA_DA_COMPUTACAO",2,"Who supported the digital revolution?","Despite its short history as an academic discipline, Computer Science has given rise to several fundamental contributions to science and society.",0,"en"
2,"CIENCIA_DA_COMPUTACAO",2,"What did computer science contribute to?","This science was responsible for the formal definition of computation and computability, and for the proof of the existence of computationally insoluble or intractable problems.",0,"en"
2,"CIENCIA_DA_COMPUTACAO",2,"What originated the information age?","This science was responsible for the formal definition of computation and computability, and for proving the existence of computationally insoluble or intractable problems.",0,"en"
2,"CIENCIA_DA_COMPUTACAO",2,"What is programming language?","This science was responsible for the formal definition of computation and computability, and for proving the existence of computationally insoluble or intractable problems.",0,"en"
2,"CIENCIA_DA_COMPUTACAO",2,"Who supported the digital revolution?","This science was responsible for the formal definition of computing and computability, and for proving the existence of computationally insoluble or intractable problems.",0,"en"
2,"CIENCIA_DA_COMPUTACAO",2,"What has computer science contributed to?","It has also been possible to construct and formalize the concept of computer language, especially programming language, a tool for the precise expression of methodological information flexible enough to be represented in various levels of abstraction.",0,"en"
2,"CIENCIA_DA_COMPUTACAO",2,"What gave rise to the information age?","It was also possible to construct and formalize the concept of computer language, especially programming language, a tool for the precise expression of methodological information flexible enough to be represented in various levels of abstraction.",0,"en"
2,"CIENCIA_DA_COMPUTACAO",2,"What is a programming language?","It was also possible to construct and formalize the concept of computer language, especially programming language, a tool for the precise expression of methodological information flexible enough to be represented in various levels of abstraction.",1,"en"
2,"CIENCIA_DA_COMPUTACAO",2,"Who supported the digital revolution?","It was also possible to construct and formalize the concept of computer language, especially programming language, a tool for the precise expression of methodological information flexible enough to be represented in various levels of abstraction.",0,"en"
2,"CIENCIA_DA_COMPUTACAO",2,"What has computer science contributed to?","For other scientific fields and for society in general, computer science has provided support for the Digital Revolution, giving rise to the Information Age.",0,"en"
2,"CIENCIA_DA_COMPUTACAO",2,"What gave rise to the Information Age?","For other scientific fields and for society in general, computer science provided support for the Digital Revolution, giving rise to the Information Age.",1,"en"
2,"CIENCIA_DA_COMPUTACAO",2,"What is a programming language?","For other scientific fields and for society in general, computer science has provided support for the Digital Revolution, giving rise to the Information Age.",0,"en"
2,"CIENCIA_DA_COMPUTACAO",2,"Who supported the digital revolution?","For other scientific fields and for society in general, computer science provided support for the digital revolution, giving rise to the Information Age.",1,"en"
2,"CIENCIA_DA_COMPUTACAO",2,"What has computer science contributed to?","Scientific computing is an area of computing that enables the advancement of studies such as the mapping of the human genome.",0,"en"
2,"CIENCIA_DA_COMPUTACAO",2,"What originated the information age?","Scientific computing is an area of computing that enables the advancement of studies such as the mapping of the human genome.",0,"en"
2,"CIENCIA_DA_COMPUTACAO",2,"What is programming language?","Scientific computing is an area of computing that allows the advancement of studies such as the mapping of the human genome.",0,"en"
2,"CIENCIA_DA_COMPUTACAO",2,"Who supported the digital revolution?","Scientific computing is an area of computing that enables the advancement of studies such as the mapping of the human genome.",0,"en"
2,"CIENCIA_DA_COMPUTACAO",3,"What is the field of study of commercial computer systems?","Despite the name, much of computer science does not involve the study of computers themselves.",0,"empty"
2,"CIENCIA_DA_COMPUTACAO",3,"What disciplines are outside the context of computer science?","Despite the name, much of Computer Science does not involve the study of computers per se.",0,"en"
2,"CIENCIA_DA_COMPUTACAO",3,"What engineering is the study of hardware part of?","Despite the name, much of computer science does not involve the study of computers themselves.",0,"empty"
2,"CIENCIA_DA_COMPUTACAO",3,"Who is credited with the phrase 'Computer science is as much about the computer as astronomy is about the telescope...'","Despite the name, much of computer science does not involve the study of computers themselves.",0,"empty"
2,"CIENCIA_DA_COMPUTACAO",3,"What is the field of study of commercial computer systems?","In fact, the well-known computer scientist Edsger Dijkstra is credited with coining the phrase """,0,"empty"
2,"CIENCIA_DA_COMPUTACAO",3,"What disciplines are outside the context of computer science?","In fact, the well-known computer scientist Edsger Dijkstra is considered the author of the phrase """,0,"en"
2,"CIENCIA_DA_COMPUTACAO",3,"What engineering is the study of hardware part of?","In fact, the well-known computer scientist Edsger Dijkstra is credited with coining the phrase """,0,"empty"
2,"CIENCIA_DA_COMPUTACAO",3,"Who is credited with the phrase 'Computer science is as much about the computer as astronomy is about the telescope...'","In fact, the well-known computer scientist Edsger Dijkstra is credited with coining the phrase """,1,"empty"
2,"CIENCIA_DA_COMPUTACAO",3,"What is the field of study of commercial computer systems?","Computer science is as much about the computer as astronomy is about the telescope... """,0,"empty"
2,"CIENCIA_DA_COMPUTACAO",3,"What disciplines are outside the context of computer science?","Computer science is as much about the computer as astronomy is about the telescope[...]"".",0,"en"
2,"CIENCIA_DA_COMPUTACAO",3,"What engineering is the study of hardware part of?","Computer science is as much about the computer as astronomy is about the telescope... """,0,"empty"
2,"CIENCIA_DA_COMPUTACAO",3,"Who is credited with the phrase 'Computer science is as much about the computer as astronomy is about the telescope...'","Computer science is as much about the computer as astronomy is about the telescope... """,0,"empty"
2,"CIENCIA_DA_COMPUTACAO",3,"What is the field of study of commercial computer systems?","The design and development of computers and computing systems are generally considered disciplines outside the context of Computer Science.",0,"empty"
2,"CIENCIA_DA_COMPUTACAO",3,"What disciplines are outside the context of computer science?","The design and development of computers and computing systems are generally considered disciplines outside the context of Computer Science.",1,"en"
2,"CIENCIA_DA_COMPUTACAO",3,"What engineering is the study of hardware part of?","The design and development of computers and computing systems are generally considered disciplines outside the context of Computer Science.",0,"empty"
2,"CIENCIA_DA_COMPUTACAO",3,"Who is credited with the phrase 'Computer science is as much about the computer as astronomy is about the telescope...'","The design and development of computers and computing systems are generally considered disciplines outside the context of Computer Science.",0,"empty"
2,"CIENCIA_DA_COMPUTACAO",3,"What is the field of study of commercial computer systems?","For example, the study of hardware is generally considered part of computer engineering, while the study of commercial computer systems are usually part of information technology or information systems.",1,"empty"
2,"CIENCIA_DA_COMPUTACAO",3,"What disciplines are outside the context of computer science?","For example, the study of hardware is generally considered part of computer engineering, while the study of commercial computer systems are generally part of information technology or information systems.",0,"en"
2,"CIENCIA_DA_COMPUTACAO",3,"What engineering is the study of hardware part of?","For example, the study of hardware is generally considered part of computer engineering, while the study of commercial computer systems are usually part of information technology or information systems.",1,"empty"
2,"CIENCIA_DA_COMPUTACAO",3,"Who is considered the author of the phrase 'Computer science has as much to do with the computer as astronomy has to do with the telescope[...]'?","For example, the study of hardware is generally considered part of computer engineering, while the study of commercial computing systems are generally part of information technology or information systems.",0,"en"
2,"CIENCIA_DA_COMPUTACAO",4,"What did Claude Shannon develop in the article A Mathematical Theory of Communication?","Until the 1930s, electrical engineers could build electronic circuits to solve logical and mathematical problems, but most did so without any particular process, no theoretical rigor for it.",0,"empty"
2,"CIENCIA_DA_COMPUTACAO",4,"What did Claude Shannon realize from being exposed to the work of George Boole?","Until the 1930s, electrical engineers could build electronic circuits to solve logical and mathematical problems, but most did so without any particular process, no theoretical rigor for it.",0,"en"
2,"CIENCIA_DA_COMPUTACAO",4,"Why did electrical engineers build electronic circuits?","Until the 1930s, electrical engineers could build electronic circuits to solve logical and mathematical problems, but most did so without any particular process, no theoretical rigor for it.",1,"en"
2,"CIENCIA_DA_COMPUTACAO",4,"What areas are grounded in the content of information theory?","Until the 1930s, electrical engineers could build electronic circuits to solve logical and mathematical problems, but most did so without any process, in particular, without theoretical rigor for such.",0,"en"
2,"CIENCIA_DA_COMPUTACAO",4,"What did Claude Shannon develop in the article A Mathematical Theory of Communication?","That changed with Claude Shannon's master's thesis of 1937,",0,"empty"
2,"CIENCIA_DA_COMPUTACAO",4,"What did Claude Shannon realize from being exposed to the work of George Boole?","That changed with Claude Shannon's master's thesis of 1937,",0,"en"
2,"CIENCIA_DA_COMPUTACAO",4,"Why did electrical engineers build electronic circuits?","That changed with Claude Shannon's master's thesis of 1937,",0,"en"
2,"CIENCIA_DA_COMPUTACAO",4,"What areas are grounded in the content of information theory?","This changed with Claude Shannon's master's thesis of 1937,",0,"en"
2,"CIENCIA_DA_COMPUTACAO",4,"What did Claude Shannon develop in the article A Mathematical Theory of Communication?","A Symbolic Analysis of Relay and Switching Circuits.",0,"empty"
2,"CIENCIA_DA_COMPUTACAO",4,"What did Claude Shannon realize when exposed to the work of George Boole?","A Symbolic Analysis of Relay and Switching Circuits.",0,"en"
2,"CIENCIA_DA_COMPUTACAO",4,"Why do electrical engineers build electronic circuits?","A Symbolic Analysis of Relay and Switching Circuits.",0,"en"
2,"CIENCIA_DA_COMPUTACAO",4,"What areas are grounded in the content of information theory?","A Symbolic Analysis of Relay and Switching Circuits.",0,"en"
2,"CIENCIA_DA_COMPUTACAO",4,"What did Claude Shannon develop in the article A Mathematical Theory of Communication?","While taking Philosophy classes, Shannon was exposed to the work of George Boole, and realized that he could apply this learning to electro-mechanical sets to solve problems.",0,"empty"
2,"CIENCIA_DA_COMPUTACAO",4,"What did Claude Shannon realize from being exposed to the work of George Boole?","While taking Philosophy classes, Shannon was exposed to the work of George Boole, and realized that he could apply this learning to electro-mechanical assemblies to solve problems.",1,"en"
2,"CIENCIA_DA_COMPUTACAO",4,"Why do electrical engineers build electronic circuits?","While taking Philosophy classes, Shannon was exposed to the work of George Boole, and realized that he could apply this learning to electro-mechanical sets to solve problems.",0,"empty"
2,"CIENCIA_DA_COMPUTACAO",4,"What areas are grounded in the content of information theory?","While taking Philosophy classes, Shannon was exposed to the work of George Boole, and realized that he could apply this learning to electro-mechanical sets to solve problems.",0,"en"
2,"CIENCIA_DA_COMPUTACAO",4,"What did Claude Shannon develop in the article A Mathematical Theory of Communication?","Shannon developed the theory of information in a 1948 paper:",1,"empty"
2,"CIENCIA_DA_COMPUTACAO",4,"What did Claude Shannon realize from being exposed to the work of George Boole?","Shannon developed the theory of information in a 1948 paper:",0,"empty"
2,"CIENCIA_DA_COMPUTACAO",4,"Why did electrical engineers build electronic circuits?","Shannon developed information theory in a 1948 paper:",0,"en"
2,"CIENCIA_DA_COMPUTACAO",4,"What areas are grounded in the content of information theory?","Shannon developed information theory in a 1948 paper:",0,"en"
2,"CIENCIA_DA_COMPUTACAO",4,"What did Claude Shannon develop in the article A Mathematical Theory of Communication?","The Mathematical Theory of Communication, the contents of which serve as the foundation for areas such as data compression and encryption.",0,"empty"
2,"CIENCIA_DA_COMPUTACAO",4,"What did Claude Shannon realize from being exposed to the work of George Boole?","The Mathematical Theory of Communication, whose content serves as a foundation for areas such as data compression and encryption.",0,"en"
2,"CIENCIA_DA_COMPUTACAO",4,"Why do electrical engineers build electronic circuits?","The Mathematical Theory of Communication, the contents of which serve as the foundation for areas such as data compression and encryption.",0,"en"
2,"CIENCIA_DA_COMPUTACAO",4,"What areas are grounded in the content of information theory?","The Mathematical Theory of Communication, whose content serves as a foundation for areas such as data compression and encryption.",1,"en"
2,"CIENCIA_DA_COMPUTACAO",5,"What is computer science?","Computer science is the science that studies computational techniques, methodologies and instruments, automates processes and develops solutions based on the use of digital processing.",1,"en"
2,"CIENCIA_DA_COMPUTACAO",5,"What studies besides algorithms does computer science involve?","Computer science is the science that studies computational techniques, methodologies and instruments, automates processes and develops solutions based on the use of digital processing.",0,"en"
2,"CIENCIA_DA_COMPUTACAO",5,"What is computer science?","It is not restricted to the study of algorithms, their applications and implementation in the form of software, extrapolating to any and all computer-based knowledge, which also involves telecommunications, the database and the technological applications that make it possible to achieve the processing of input and output data so that it is transformed into information.",1,"en"
2,"CIENCIA_DA_COMPUTACAO",5,"What studies besides algorithms does computer science involve?","It is not restricted to the study of algorithms, their applications and implementation in the form of software, extrapolating to any and all knowledge patterned on the computer, which also involves telecommunications, the database and the technological applications that make it possible to achieve the processing of input and output data, so that it is transformed into information.",1,"en"
2,"CIENCIA_DA_COMPUTACAO",5,"What is computer science?","Thus, computer science also encompasses data modeling techniques and communication protocols, as well as principles that cover other specialisations in the field.",0,"en"
2,"CIENCIA_DA_COMPUTACAO",5,"What studies besides algorithms does computer science involve?","Thus, computer science also encompasses data modeling techniques and communication protocols, as well as principles that encompass other specializations in the field.",0,"en"
2,"CIENCIA_DA_COMPUTACAO",6,"What does the area of computer science suffer from?","Generally, computer scientists study the theoretical foundations of computing, from which other fields derive, such as the aforementioned research areas.",0,"en"
2,"CIENCIA_DA_COMPUTACAO",6,"What does the computer professional need to have?","Generally, computer scientists study the theoretical foundations of computing, from which other fields derive, such as the aforementioned research areas.",0,"en"
2,"CIENCIA_DA_COMPUTACAO",6,"What do computer scientists study?","Generally, computer scientists study the theoretical foundations of computing, from which other fields derive, such as the aforementioned research areas.",1,"en"
2,"CIENCIA_DA_COMPUTACAO",6,"What is rapidly modified with the continuous transformations undergone by the field of computing?","Generally, computer scientists study the theoretical foundations of computing, from which other fields derive, such as the aforementioned research areas.",0,"en"
2,"CIENCIA_DA_COMPUTACAO",6,"What is the area of computer science suffering from?","As the name implies, Computer Science is a pure, non-applied science.",0,"en"
2,"CIENCIA_DA_COMPUTACAO",6,"What does the computer professional need to have?","As the name implies, Computer Science is a pure, non-applied science.",0,"en"
2,"CIENCIA_DA_COMPUTACAO",6,"What do computer scientists study?","As the name implies, Computer Science is a pure, non-applied science.",0,"en"
2,"CIENCIA_DA_COMPUTACAO",6,"What is rapidly modified with the continuous transformations undergone by the field of computing?","As the name implies, Computer Science is a pure, non-applied science.",0,"en"
2,"CIENCIA_DA_COMPUTACAO",6,"What does the area of computer science suffer from?","However, the professional in this area can pursue more practical applications of their knowledge by working in areas such as software development, telecommunications, consulting, systems analysis, IT security, IT governance, business analysis and information technology.",0,"en"
2,"CIENCIA_DA_COMPUTACAO",6,"What does the computer professional need to have?","Meanwhile, the computer professional can pursue more practical applications of his or her knowledge by working in areas such as software development, telecommunications, consulting, systems analysis, IT security, IT governance, business analysis and information technology.",0,"en"
